year,age,sex,helping_others,social_usefulness
1989,40,male,neither,neither
1989,26,male,very_important,very_important
1989,38,male,not_important,neither
1989,27,female,important,important
1989,19,female,neither,neither
1989,40,male,neither,very_important
1989,55,female,not_important,important
1989,22,female,neither,very_important
1989,65,male,neither,neither
1989,38,female,neither,neither
1989,40,female,important,important
1989,42,female,important,important
1989,53,female,neither,important
1989,42,female,very_important,very_important
1989,50,female,important,important
1989,18,male,very_important,important
1989,41,female,neither,neither
1989,22,male,important,neither
1989,25,male,important,important
1989,63,female,important,important
1989,72,female,important,important
1989,70,male,important,important
1989,30,female,important,important
1989,48,female,neither,neither
1989,41,female,neither,important
1989,47,female,important,important
1989,45,male,important,very_important
1989,58,male,important,very_important
1989,50,male,very_important,important
1989,49,female,very_important,very_important
1989,75,male,important,neither
1989,55,female,very_important,very_important
1989,28,female,neither,neither
1989,28,female,very_important,important
1989,25,female,very_important,important
1989,75,male,not_important,important
1989,35,female,important,important
1989,47,female,neither,important
1989,42,male,very_important,neither
1989,36,female,neither,neither
1989,42,male,very_important,important
1989,50,female,important,important
1989,27,female,very_important,very_important
1989,34,male,very_important,very_important
1989,32,female,important,important
1989,35,female,important,very_important
1989,24,female,important,neither
1989,72,female,neither,neither
1989,62,male,very_important,very_important
1989,71,male,very_important,important
1989,31,male,neither,not_important
1989,88,female,important,important
1989,78,male,neither,important
1989,70,male,very_important,important
1989,79,female,neither,important
1989,47,female,important,important
1989,28,female,important,important
1989,30,female,important,neither
1989,41,male,important,important
1989,64,female,important,important
1989,51,female,important,neither
1989,51,female,very_important,very_important
1989,23,male,very_important,very_important
1989,62,female,not_important,not_important
1989,63,female,neither,neither
1989,47,male,neither,important
1989,28,male,important,very_important
1989,51,female,very_important,very_important
1989,21,female,important,important
1989,31,male,important,important
1989,26,female,important,not_important
1989,63,male,important,important
1989,81,female,important,important
1989,49,female,important,important
1989,25,male,neither,important
1989,65,male,very_important,very_important
1989,19,female,important,important
1989,24,female,important,very_important
1989,44,male,important,important
1989,22,female,important,very_important
1989,25,female,very_important,very_important
1989,67,female,important,important
1989,27,female,not_important_at_all,neither
1989,35,male,neither,neither
1989,38,female,very_important,very_important
1989,52,male,important,important
1989,37,male,neither,neither
1989,20,female,neither,neither
1989,29,female,important,very_important
1989,25,male,neither,important
1989,30,male,important,important
1989,53,male,important,important
1989,67,female,important,important
1989,28,female,neither,neither
1989,39,male,important,important
1989,54,female,important,neither
1989,75,female,very_important,very_important
1989,76,female,important,important
1989,45,female,important,neither
1989,56,female,important,important
1989,69,female,important,neither
